trade_id,direction,entry_time,entry_price,exit_time,exit_price,size,pnl,fee,net_pnl,capital_after,note
1,SHORT,2025-12-01 00:06:00,89480.01,2025-12-01 00:41:00,88143.62,0.1,133.63899999999995,0.0,133.63899999999995,10133.639,
2,LONG,2025-12-01 00:41:00,88143.62,2025-12-01 00:45:00,87650.09,0.1,-49.35299999999989,0.0,-49.35299999999989,10084.286,
3,SHORT,2025-12-01 00:45:00,87650.09,2025-12-01 01:02:00,87420.0,0.1,23.008999999999652,0.0,23.008999999999652,10107.295,
4,LONG,2025-12-01 01:02:00,87420.0,2025-12-01 01:10:00,87309.97,0.1,-11.002999999999885,0.0,-11.002999999999885,10096.292,
5,SHORT,2025-12-01 01:10:00,87309.97,2025-12-01 01:15:00,87577.5,0.1,-26.752999999999886,0.0,-26.752999999999886,10069.538999999999,
6,LONG,2025-12-01 01:15:00,87577.5,2025-12-01 01:20:00,87425.86,0.1,-15.163999999999943,0.0,-15.163999999999943,10054.374999999998,
7,SHORT,2025-12-01 01:20:00,87425.86,2025-12-01 01:33:00,87394.78,0.1,3.1080000000001746,0.0,3.1080000000001746,10057.482999999998,
8,LONG,2025-12-01 01:33:00,87394.78,2025-12-01 01:40:00,87388.25,0.1,-0.6529999999998837,0.0,-0.6529999999998837,10056.829999999998,
9,SHORT,2025-12-01 01:40:00,87388.25,2025-12-01 01:58:00,87264.6,0.1,12.36499999999942,0.0,12.36499999999942,10069.194999999998,
10,LONG,2025-12-01 01:58:00,87264.6,2025-12-01 01:59:00,87168.91,0.1,-9.569000000000234,0.0,-9.569000000000234,10059.625999999998,
11,SHORT,2025-12-01 01:59:00,87168.91,2025-12-01 02:04:00,87354.78,0.1,-18.586999999999534,0.0,-18.586999999999534,10041.038999999999,
12,LONG,2025-12-01 02:04:00,87354.78,2025-12-01 02:17:00,87298.9,0.1,-5.588000000000466,0.0,-5.588000000000466,10035.451,
13,SHORT,2025-12-01 02:17:00,87298.9,2025-12-01 02:35:00,87066.02,0.1,23.287999999999013,0.0,23.287999999999013,10058.738999999998,
14,LONG,2025-12-01 02:35:00,87066.02,2025-12-01 02:37:00,86710.81,0.1,-35.52100000000064,0.0,-35.52100000000064,10023.217999999997,
15,SHORT,2025-12-01 02:37:00,86710.81,2025-12-01 02:53:00,86624.01,0.1,8.680000000000291,0.0,8.680000000000291,10031.897999999997,
16,LONG,2025-12-01 02:53:00,86624.01,2025-12-01 03:00:00,86775.99,0.1,15.198000000001048,0.0,15.198000000001048,10047.095999999998,
17,SHORT,2025-12-01 03:00:00,86775.99,2025-12-01 03:04:00,86767.37,0.1,0.8620000000009895,0.0,0.8620000000009895,10047.957999999999,
18,LONG,2025-12-01 03:04:00,86767.37,2025-12-01 03:06:00,86606.0,0.1,-16.136999999999535,0.0,-16.136999999999535,10031.821,
19,SHORT,2025-12-01 03:06:00,86606.0,2025-12-01 03:18:00,86560.84,0.1,4.516000000000349,0.0,4.516000000000349,10036.337,
20,LONG,2025-12-01 03:18:00,86560.84,2025-12-01 03:28:00,86454.55,0.1,-10.62899999999936,0.0,-10.62899999999936,10025.708,
21,SHORT,2025-12-01 03:28:00,86454.55,2025-12-01 03:41:00,86420.0,0.1,3.4550000000002914,0.0,3.4550000000002914,10029.163,
22,LONG,2025-12-01 03:41:00,86420.0,2025-12-01 03:47:00,86352.73,0.1,-6.727000000000408,0.0,-6.727000000000408,10022.436,
23,SHORT,2025-12-01 03:47:00,86352.73,2025-12-01 03:57:00,86399.99,0.1,-4.726000000000932,0.0,-4.726000000000932,10017.71,
24,LONG,2025-12-01 03:57:00,86399.99,2025-12-01 04:00:00,86256.01,0.1,-14.398000000001048,0.0,-14.398000000001048,10003.311999999998,
25,SHORT,2025-12-01 04:00:00,86256.01,2025-12-01 04:07:00,86345.34,0.1,-8.933000000000176,0.0,-8.933000000000176,9994.378999999997,
26,LONG,2025-12-01 04:07:00,86345.34,2025-12-01 04:10:00,86190.66,0.1,-15.467999999999302,0.0,-15.467999999999302,9978.910999999998,
